,keywords,times
0,打卡,17
1,age,3
2,45,3
3,ttk,2
4,因为,2
5,QB,2
6,怎么,2
7,钝角,2
8,哈哈哈哈,1
9,哈哈哈,1
10,魔方,1
11,寄录,1
12,晚上,1
13,hhhhhhhhh,1
14,史官,1
15,带来,1
16,笑容,1
17,鳗鳗,1
18,直呼,1
19,不如,1
20,还有,1
21,半小时,1
22,什么,1
23,海化,1
24,丘比,1
25,可爱,1
26,果然,1
27,这段,1
28,必须,1
29,别尬,1
30,导剪,1
31,看似,1
32,可是,1
33,最后,1
34,qb,1
35,烧烤,1
36,缺德,1
37,绝户,1
38,鲜切,1
39,现切,1
40,住手,1
41,已经,1
42,不是,1
43,----,1
44,这个,1
45,画面,1
46,感觉,1
47,有点,1
48,这是,1
49,导演,1
50,理论,1
51,计算,1
52,刚刚,1
53,是不是,1
54,钉宫,1
55,123,1
56,弹幕,1
57,签到,1
58,补偿,1
59,thi,1
60,每日,1
61,111,1
62,暗中,1
63,观察,1
